SMILES T P density einter compress
CCCO 246 1 8.482e-01 -4.833e+01 6.127e-05
CCCO 172 50 9.051e-01 -5.253e+01 3.550e-05
CCCO 283 50 8.188e-01 -4.512e+01 7.472e-05
CCCO 393 250 7.321e-01 -3.556e+01 1.512e-04
CCCO 246 750 8.801e-01 -4.950e+01 3.904e-05
CCCO 319 1000 8.381e-01 -4.395e+01 5.335e-05
CC(O)C 322 1 7.716e-01 -4.043e+01 1.162e-04
CC(O)C 294 100 8.043e-01 -4.342e+01 8.123e-05
CC(O)C 378 250 7.371e-01 -3.549e+01 1.583e-04
CC(O)C 210 500 8.896e-01 -5.011e+01 3.617e-05
CC(O)C 294 750 8.387e-01 -4.456e+01 5.015e-05
CC(O)C 210 1000 9.029e-01 -5.042e+01 2.954e-05
CCCCO 450 1 6.459e-01 -3.195e+01 4.276e-04
CCCCO 243 50 8.596e-01 -5.433e+01 5.271e-05
CCCCO 278 100 8.330e-01 -5.100e+01 6.535e-05
CCCCO 312 100 8.053e-01 -4.772e+01 9.249e-05
CCCCO 347 100 7.731e-01 -4.386e+01 1.167e-04
CCCCO 450 250 6.922e-01 -3.436e+01 2.396e-04
CCCCO 416 1000 7.808e-01 -4.061e+01 8.619e-05
OCC(C)C 296 1 8.039e-01 -4.669e+01 8.159e-05
OCC(C)C 367 750 7.913e-01 -4.159e+01 7.733e-05
OCC(C)C 225 1000 8.987e-01 -5.461e+01 3.039e-05
CCC(O)C 183 1 8.881e-01 -5.425e+01 3.762e-05
CCC(O)C 359 1 7.379e-01 -3.857e+01 1.746e-04
CCC(O)C 429 1 6.475e-01 -3.014e+01 5.502e-04
CCC(O)C 359 50 7.429e-01 -3.876e+01 1.543e-04
CCC(O)C 429 100 6.675e-01 -3.119e+01 3.248e-04
CCC(O)C 218 500 8.882e-01 -5.394e+01 3.736e-05
CCC(O)C 394 500 7.513e-01 -3.723e+01 1.311e-04
CCC(O)C 429 500 7.210e-01 -3.397e+01 1.397e-04
CCC(O)C 218 750 8.959e-01 -5.389e+01 3.314e-05
CCC(O)C 359 750 7.975e-01 -4.183e+01 9.039e-05
CCC(O)C 218 1000 9.024e-01 -5.427e+01 2.865e-05
CC(O)(C)C 336 100 7.717e-01 -3.917e+01 1.151e-04
CC(O)(C)C 370 100 7.349e-01 -3.506e+01 1.808e-04
CC(O)(C)C 382 250 7.381e-01 -3.459e+01 1.621e-04
CC[C@H](O)C 254 500 8.618e-01 -5.173e+01 4.464e-05
CC[C@@H](O)C 360 50 7.425e-01 -3.871e+01 1.900e-04
CC[C@@H](O)C 254 100 8.455e-01 -5.119e+01 6.039e-05
CC[C@@H](O)C 254 250 8.531e-01 -5.172e+01 5.202e-05
CC[C@@H](O)C 289 750 8.489e-01 -4.930e+01 6.051e-05
CC[C@@H](O)C 289 1000 8.585e-01 -4.973e+01 4.332e-05
CCCCCO 256 1 8.513e-01 -5.805e+01 5.865e-05
CCCCCO 291 50 8.256e-01 -5.455e+01 7.085e-05
CCCCCO 220 500 8.940e-01 -6.121e+01 3.625e-05
CCCCCO 291 500 8.500e-01 -5.606e+01 4.778e-05
CCCCCO 327 500 8.242e-01 -5.242e+01 7.492e-05
CCCCCO 399 500 7.703e-01 -4.469e+01 1.094e-04
CCCCCO 434 750 7.618e-01 -4.236e+01 9.580e-05
CCCC(O)C 225 100 8.685e-01 -5.812e+01 4.666e-05
CCCC(O)C 352 100 7.654e-01 -4.439e+01 1.299e-04
CCCC(O)C 257 250 8.565e-01 -5.638e+01 5.483e-05
CCCC(O)C 321 500 8.209e-01 -5.047e+01 6.853e-05
CCCC(O)C 416 1000 7.792e-01 -4.139e+01 8.951e-05
CCC(CC)O 229 50 8.684e-01 -5.630e+01 3.790e-05
CCC(CC)O 354 100 7.571e-01 -4.202e+01 1.503e-04
CCC(CC)O 417 100 6.899e-01 -3.447e+01 3.071e-04
CCC(CC)O 385 500 7.628e-01 -4.051e+01 9.223e-05
CCC(CC)O 323 750 8.285e-01 -4.906e+01 6.125e-05
CCC(CO)C 247 100 8.611e-01 -5.686e+01 4.849e-05
CC(C(C)C)O 421 1 6.637e-01 -3.173e+01 4.668e-04
CC(C(C)C)O 450 1 6.231e-01 -2.862e+01 6.609e-04
CC(C(C)C)O 247 100 8.543e-01 -5.472e+01 5.358e-05
CC(C(C)C)O 276 500 8.541e-01 -5.272e+01 4.568e-05
CC(C(C)C)O 305 500 8.295e-01 -4.883e+01 6.285e-05
CC(C(C)C)O 421 500 7.334e-01 -3.590e+01 1.391e-04
CC(C(C)C)O 363 1000 8.092e-01 -4.317e+01 6.802e-05
OCCC(C)C 342 1 7.748e-01 -4.733e+01 1.003e-04
OCCC(C)C 422 1 6.943e-01 -3.792e+01 2.733e-04
OCCC(C)C 181 50 8.970e-01 -6.089e+01 3.163e-05
OCCC(C)C 382 250 7.610e-01 -4.418e+01 1.470e-04
OCCC(C)C 462 250 6.925e-01 -3.609e+01 2.298e-04
OCCC(C)C 181 500 9.048e-01 -6.096e+01 2.928e-05
CCC(O)(C)C 310 750 8.405e-01 -4.630e+01 5.392e-05
CCC(O)(C)C 352 750 8.059e-01 -4.131e+01 6.945e-05
CCC(O)(C)C 289 1000 8.666e-01 -4.932e+01 4.600e-05
CCC(O)(C)C 393 1000 7.907e-01 -3.851e+01 7.993e-05
CCC(O)(C)C 414 1000 7.760e-01 -3.674e+01 9.442e-05
C[C@@H](C(C)C)O 275 1 8.261e-01 -5.082e+01 7.211e-05
C[C@@H](C(C)C)O 417 1 6.682e-01 -3.216e+01 3.550e-04
C[C@@H](C(C)C)O 247 100 8.581e-01 -5.525e+01 4.445e-05
C[C@@H](C(C)C)O 304 500 8.297e-01 -4.858e+01 6.746e-05
C[C@@H](C(C)C)O 247 750 8.821e-01 -5.583e+01 3.347e-05
C[C@@H](C(C)C)O 417 1000 7.724e-01 -3.845e+01 7.990e-05
C[C@@H](C(C)C)O 445 1000 7.542e-01 -3.623e+01 1.017e-04
